gmap_id,name,latitude,longitude,avg_rating,borough,cluster
0x89c2f7680217127f:0x44ce2263e3877ec1,Fireball Restaurant,40.8385165,-73.9411485,4.3,Manhattan,0
0x89c25bce77dae16b:0xb1e1d3ae1465cd29,Rita's Italian Ice & Frozen Custard,40.670265,-73.94252,4.3,Brooklyn,10
0x89c25bb23e0eec35:0xe8a6498dea29132b,Juice Press,40.6861719,-73.97870549999999,3.4,Brooklyn,19
0x89c2f66f3042f479:0x172b4f8be062dba2,Fruces Juice Bar,40.818205,-73.95298,4.8,Manhattan,19
0x89c25c9f49530213:0x7c4553a0f41d77eb,StephLova's Cafe,40.6496932,-73.930506,4.7,Brooklyn,5
0x89c25fbab51c07c9:0xddf3086c28d36082,C & C Italian Deli 2,40.703238,-73.867469,4.1,Queens,37
0x89c261ad81cd9fef:0x9d5b0b0835e5bfc1,湘当有料Young and Rich,40.7618164,-73.83274349999999,4.1,Queens,29
0x89c259cfd197c453:0xd566a7f7fabd5c07,Rawbar,40.7280149,-74.0016103,4.6,Manhattan,5
0x89c2585f83b03beb:0x2d9f34a36d32190f,David Geffen Hall Café,40.7726426,-73.983504,3.7,Manhattan,11
0x89c24546770495b9:0x1626cc2f4b681fc1,Great Wall,40.6289454,-74.0122264,4.6,Brooklyn,13
0x89c259f744b20deb:0xb536eb5ee402f92f,FREEHOLD In The Park,40.736449799999995,-73.9899257,4.2,Manhattan,2
0x89c24c3254069039:0x49ac713f165882d,Uncle Louie G watchogue road,40.615955799999995,-74.1383409,4.7,Staten Island,10
0x89c25edec4154c3d:0x7b8c08aabc20f021,Paddy Duggan's Pub,40.7425567,-73.9173725,4.6,Queens,20
0x89c24544dcba20d9:0x81b7791c2791231e,月花坊 Moon Flower House,40.6372229,-74.0117163,2.9,Brooklyn,0
0x89c25f77d9f02b8b:0x4ec2c4e25dc8f309,The Coffee Pot,40.7669382,-73.9209872,3.8,Queens,43
0x89c25cff3a631bbb:0x166af390385ea3ce,China Panda,40.661654999999996,-73.894041,3.8,Brooklyn,13
0x89c266f5f8771b11:0xa6bbe853eccf8599,La Vie,40.6465307,-73.77659609999999,3.6,Queens,43
0x89c259b10d52b9d7:0xb0d748382e0ba4e1,Julietta Gelato Cafè,40.7336439,-74.0042752,4.4,Manhattan,49
0x89c24b375e7555c5:0xfc278236316bdf0b,The Pastrami Shoppe,40.5388923,-74.1483332,3.1,Staten Island,11
0x89c2f7680217127f:0x44ce2263e3877ec1,Fireball Restaurant,40.8385165,-73.9411485,4.3,Manhattan,0
0x89c25bce77dae16b:0xb1e1d3ae1465cd29,Rita's Italian Ice & Frozen Custard,40.670265,-73.94252,4.3,Brooklyn,10
0x89c2f46404b8dc11:0xf586fa8da8284fff,Dynasty Taste,40.8466571,-73.89550009999999,4.1,Bronx,13
0x89c25db9125e53cb:0xedb9c8a322753011,Ecowas Kitchen (Amala Junction),40.6744342,-73.8708608,4.0,Brooklyn,0
0x89c259076d41b1a3:0x14d36944c6e26df7,Dominique Ansel Workshop,40.743733399999996,-73.98664409999999,4.2,Manhattan,25
0x89c268aa9a455031:0xb1842d515d5728f0,Shop Fair Supermarkets,40.602472999999996,-73.749737,3.6,Queens,5
0x89c25fc71141f121:0x4176c27f3d26d294,Beky's Bakery,40.751216,-73.86366,4.2,Queens,25
0x89c2f487766b3db7:0xb5c31fa7ec717c61,Karied's Deli Cafe,40.8525815,-73.8880187,4.8,Bronx,43
0x89c25f1d07680d79:0x9d4094ffb5b7ac18,Station Bar,40.745903399999996,-73.90354169999999,4.3,Queens,6
0x89c259c8c647b659:0xe0b6840adc370add,Mocha Red Steakhouse + Mixology Bar,40.7331655,-73.98971019999999,3.6,Manhattan,5
0x89c26316f44212fb:0x81e049b4385f0142,RIVERS CAFE USA,40.729307999999996,-73.6992719,4.8,Queens,15
0x89c244e5eb9f2249:0x29b27084bd3e655b,Ave P Coffee Shop,40.6091067,-73.9725619,4.6,Brooklyn,43
0x89c267560a0a04e1:0x3d0b366e997f0487,China House,40.6901095,-73.84070369999999,4.4,Queens,13
0x89c25bfa2740fd6b:0x1801bb1e21974e2e,7-Eleven - Closed,40.7014874,-73.9419334,2.9,Brooklyn,5
0x89c259a635316725:0x3c93ffd3af770c50,Dunkin,40.7442478,-73.98580439999999,3.6,Manhattan,4
0x89c2f6642a4ee3d7:0x8129f905ad56e6a6,Subway,40.8227044,-73.953553,3.5,Manhattan,11
0x89c2f4129d594817:0x6f302bd8ad983e7d,El Sabro Son,40.853817899999996,-73.9146428,3.9,Bronx,0
0x89c245378ebed095:0x1e97693f85a524be,New China,40.630108,-74.004721,4.3,Brooklyn,13
0x89c24ab2c20fe29f:0xb50d96999de31e30,IL FORNO PIZZERIA,40.522169999999996,-74.216532,4.4,Staten Island,24
0x89c25ac7b2665555:0x47840ce34bb2744f,Palacios Cafe,40.651052199999995,-74.003789,4.6,Brooklyn,22
0x89c25e53d9c7b981:0xfa3c76546fdea600,Asian Kitchen,40.7358185,-73.8809591,4.0,Queens,13
0x89c25f971f428d79:0x776cf277d2e4b507,New Lucky Star,40.763095,-73.87443999999999,4.1,Queens,13
0x89c2588aae2f66ef:0xe3504f54cb93a0ee,Ollie's,40.775179699999995,-73.98245059999999,3.2,Manhattan,13
0x89c24afc39363d39:0xa9b60b5ebd5c9f4c,Kingdom Pizza,40.541480799999995,-74.17846639999999,4.6,Staten Island,2
0x89c261d8ee79f3e5:0xf99f26577982aa70,Las Palmas Dominicanas,40.7577822,-73.78187059999999,3.4,Queens,35
0x89c2f5e2c457d701:0x480c832a46d95ca3,Xiang Dragon,40.7983044,-73.9339499,3.9,Manhattan,13
0x89c24ec3786c08fd:0x7cfc5ef98d342ebd,Cafe Latte,40.5879809,-74.0914076,4.7,Staten Island,5
0x89c259acc68752c1:0xa66f72c322a89e52,Blue Maiz,40.755415,-73.9906929,4.5,Manhattan,38
0x89c25dbc782b32b3:0x7db4e1d1b66434da,Lily,40.6730541,-73.8711433,4.0,Brooklyn,0
0x89c259d15c4d4d31:0xfd6e8bcbd310872e,Yamadaya,40.7350724,-73.998212,4.8,Manhattan,8
0x89c25d7b214fc7e7:0x43d8a3be5999eb49,Rochdale Chicken and Fish 90z,40.6635808,-73.9246015,4.2,Brooklyn,0
0x89c2454c07c94723:0x75a29191fb629b98,Wu La Bu Huan,40.636241,-74.0126258,3.3,Brooklyn,29
0x89c2f4523fdee08b:0x981ea93a3a5592e7,King's Chef,40.825953299999995,-73.8992181,4.0,Bronx,13
0x89c2f41f189de7b1:0xfa345ba97fa2a56c,Antojitos Mexicanos,40.8485669,-73.9315677,4.2,Manhattan,9
0x89c2453a9289b169:0x669aaa8155927291,Luz De Luna Cafe,40.6274114,-73.9969522,3.8,Brooklyn,9
0x89c28ba67e4b6f7d:0x35def574b9d735b6,IHOP,40.7788039,-73.7785451,3.4,Queens,43
0x89c2f5c338664f01:0xeed1d58792a1f561,El Rinconcito Tepeyac,40.809470499999996,-73.9233512,4.0,Bronx,9
0x89c245759c729b07:0x44445436dafc9eec,Habibi,40.5873926,-73.95425089999999,4.9,Brooklyn,5
0x89c2618d76b63417:0x4ab7fd63f0c2ae78,Dunkin',40.7360006,-73.74709109999999,3.8,Queens,4
0x89c25db5c53ad785:0x1b01b13f3b804ee1,Tio Deli,40.680088,-73.8838882,4.5,Brooklyn,37
0x89c26110a3d75fef:0xe22d27bacd2229c4,Hillside Deli Ltd,40.7127111,-73.78270499999999,4.4,Queens,37
0x89c259989b5799fd:0xe14be518094bfc8,Toasties,40.7098097,-74.0085713,4.0,Manhattan,37
0x89c25daae16f7c5b:0xf59eb548777e2a2c,Island Tropics,40.664595999999996,-73.8872143,3.8,Brooklyn,0
0x89c26831de320993:0xfb758ea806547cf0,Healy's Pub,40.581241399999996,-73.82995629999999,4.4,Queens,20
0x89c259776df0a041:0x40de68e2d0d2419c,THE IZAKAYA NYC on 4th,40.7237979,-73.9834784,4.6,Manhattan,8
0x89c2669477d6ddfb:0x32d21bc28df4ed76,Kenny Deli & Grocery Inc,40.6609214,-73.76789629999999,4.3,Queens,37
0x89c25be8b5243173:0xc607bac7ef0948fe,Kimpanadas,40.6840037,-73.99253879999999,4.9,Brooklyn,47
0x89c2f66a0bee22ef:0x4be3c8158d1745d9,Peking Garden,40.8149691,-73.9592449,3.9,Manhattan,13
0x89c25bddad8e4cdd:0xb000bc828117a736,Shabushabu Mayumon,40.714237499999996,-73.9920557,4.7,Manhattan,8
0x89c261b673da8f37:0x288e4bb277fc54,Aloha Krab Cajun Seafood,40.706040699999996,-73.7931131,4.4,Queens,33
0x89c2f664bdaff1a7:0xac3426f0a446d7f,The Yellow Banana Snack Bar,40.8235852,-73.94903409999999,4.4,Manhattan,47
0x89c2f517aa1d7267:0x64f4aa131b0b6ed1,John's Chicken & Burger & Pizza,40.816694999999996,-73.864183,4.0,Bronx,0
0x89c2f502381d3503:0x5baa8c8f35a711c2,Crab Du Jour Cajun Seafood Boil,40.8203683,-73.8914534,4.4,Bronx,33
0x89c25f3a1a16caaf:0x83211bb7ecbe06d2,Sunrise,40.7608216,-73.9231933,4.1,Queens,13
0x89c25ef0d9f8e439:0x27314483cd3e6a05,Borja's Deli,40.7305634,-73.89556879999999,4.2,Queens,37
0x89c2454432ff9f59:0x1672d0e265ef2fc1,El Penacho,40.608492999999996,-73.97362489999999,3.7,Brooklyn,9
0x89c259e80485fc0b:0xe4ddf3a8e4820587,JERK OFF THE GRILL,40.771695199999996,-73.95382529999999,4.3,Manhattan,0
0x89c25f9689a3c7d9:0xb8e5a7aad3d3aa20,Riviera Maya Restaurant,40.7648721,-73.91454569999999,4.7,Queens,9
0x89c25c9e55c3af53:0xa97090a9e2fbd68d,Ital Fusion,40.651806,-73.932993,4.6,Brooklyn,46
0x89c24e370f79140b:0x5da8aaba2d86c929,Morelos Mexican Restaurant & Deli,40.6342591,-74.086544,4.3,Staten Island,9
0x89c25b1358133f3b:0x29b73118cdc73d61,Habib 1 Deli,40.6580279,-73.9600908,4.7,Brooklyn,37
0x89c3b5596ef11fc5:0xfd076243ae5fbd57,BAGELS 4 U,40.517168,-74.233552,3.6,Staten Island,23
0x89c2608a2b92ad41:0xb97cc49302ef5b9c,Berrylicious Frozen Yogurt,40.730073,-73.8238056,4.3,Queens,10
0x89c2675a29f5ba89:0x8b26bb8def8b5bba,On the Rox,40.6826304,-73.8360385,4.4,Queens,6
0x89c25f48242f63a7:0x2920e39bcf4a0554,Cafeteria Restaurant 55,40.753608799999995,-73.906195,4.6,Queens,9
0x89c25bf7debe5081:0x1a6742f945045018,Xing Wang,40.6974224,-73.9362841,4.1,Brooklyn,13
0x89c25d814e25d0df:0xb5b4525f487d4fae,Bombay Kitchen,40.694081499999996,-73.9095049,3.0,Brooklyn,14
0x89c25b429cd3f659:0xab7ba7cc3821c4be,Nostrand Health Food & Juice Bar,40.6513479,-73.94991069999999,4.4,Brooklyn,19
0x89c259af1ce6ac73:0x4834ce80b161db2b,Pomp & Circumstance,40.7142586,-73.9496365,4.9,Brooklyn,5
0x89c25c594d067cc1:0xf82963995a4b6bd,Lucky Star,40.669301999999995,-73.906423,3.4,Brooklyn,13
0x89c28a9af7754bfb:0x234449809da7ace5,Green Garden,40.777910899999995,-73.80940389999999,3.7,Queens,13
0x89c258e4c2ece1e5:0x5c5e122e3907759e,Red Olive,40.7598996,-73.9701358,4.2,Manhattan,7
0x89c25b44e842afb7:0xb61f14780dae56b4,Melting Pot Cuisine,40.7020321,-73.9436284,3.9,Brooklyn,0
0x89c25992c3fbd807:0x6d530a1a42c361a0,Andrea's Chicken 2,40.7125732,-73.9566224,4.7,Brooklyn,0
0x89c24d66c6bf0823:0x2dce0959d8772fb,Empanada Kingdom,40.6122815,-74.12949549999999,4.7,Staten Island,47
0x89c25da4cb2571d1:0xbd8f277b41f3c6ed,Honore Club,40.702293999999995,-73.91970119999999,4.8,Brooklyn,6
0x89c24fb491f69c95:0xcb3c8496b3b96da7,New Golden Dragon,40.625558399999996,-74.0748302,3.2,Staten Island,13
0x89c2f7d883798bab:0x60a3d35f4da362e3,The Chick Inn,40.8252495,-73.95096509999999,4.4,Manhattan,0
0x89c2f478758dcbe5:0x584d0d4bc908f17f,Taqueria Tenochtitlan,40.861537999999996,-73.898982,4.3,Bronx,9
0x89c24ae99b7ef9c7:0x7655afa0a2c5665d,Chopsticks House,40.5327722,-74.19175709999999,3.8,Staten Island,13
0x89c2f49f83103bdd:0x8ef4f809b549e4b6,Boe Lee,40.8545589,-73.86603939999999,3.8,Bronx,13
0x89c25baee9b18335:0x8cb534d415442bd5,Kith Treats,40.6811773,-73.9751315,4.1,Brooklyn,10
0x89c2616d61e1dc15:0xa0dc008bbc6bb215,Young's Dessert Bar,40.7600334,-73.8327984,4.5,Queens,10
0x89c245c7e2dbaa81:0x66f6fe990f1066e7,Wildberry Cake,40.583634599999996,-73.9510916,4.6,Brooklyn,25
0x89c25a2a484beac5:0x135040b16a80b644,Big Apple Food Market,40.7141807,-73.987301,4.5,Manhattan,37
0x89c2594b76dd996f:0x7ac8f76d40e967cc,The Chippery NYC,40.726028,-73.9867743,4.6,Manhattan,0
0x89c244a1a0d169b3:0xe2fcd0238d501245,Bulls Eye Sports Pub,40.6194985,-73.93320369999999,4.6,Brooklyn,6
0x89c25d90fbad2401:0xe7ca0db0fd9c379,Jade Linden,40.6697847,-73.856884,3.5,Queens,13
0x89c25f60f4b34945:0x1e63815dd8081fdc,Outerspace,40.710775399999996,-73.92330849999999,3.9,Brooklyn,5
0x89c2614a982a8597:0x7f47fbc150e994d0,BAJIE BBQ,40.7590265,-73.83380869999999,4.2,Queens,0
0x89c2f4b1f3805f49:0x6b839aaaeaff2ba8,Born 4 INK,40.842806499999995,-73.85225609999999,4.5,Bronx,5
0x89c2594f58f0d94b:0x46b06648a10025b6,Champion Coffee,40.724692999999995,-73.947671,4.2,Brooklyn,46
0x89c25acafdc65167:0xb7301bcdd81f4ef3,Great Wall,40.641427199999995,-74.0036295,4.2,Brooklyn,13
0x89c2f31e63c1bd99:0x6238d149537150bf,Juicy King Crab Express (Allerton Ave.),40.865341799999996,-73.8640583,4.4,Bronx,33
0x89c25d4a4b7f5983:0x20bab07286e68f2c,Taco Bell,40.6697415,-73.9118962,3.3,Brooklyn,41
0x89c25a4b9dbd4f53:0x76ef15a34f071d87,Casella Bagel Coffee Shop,40.6920868,-73.9860374,4.3,Brooklyn,23
0x89c2585f61dc7775:0x95d38f8129e7b448,Lincoln Center Kitchen,40.7725875,-73.9831889,3.9,Manhattan,28
0x89c2451db19a7107:0x1c424078b7fb7d4b,Ciao Pizza Pasta,40.6102874,-73.98551669999999,4.3,Brooklyn,24
0x89c25b77d45bedfd:0xcb4f535b69251a1c,Cocks,40.6711471,-73.95054859999999,4.1,Brooklyn,0
0x89c2599351ab8a87:0x535c402879a4471,Hudson Bagels,40.733365899999995,-74.00362539999999,3.7,Manhattan,23
0x89c25955f1e74763:0x1faf95483390860a,Mille Nonne,40.7182408,-73.988107,4.6,Manhattan,49
0x89c24be7e8384f23:0xf8179c81c0f4f6b4,Uncle Louie G’s Italian Ice & Ice Cream,40.5599133,-74.1349378,4.7,Staten Island,10
0x89c2599e42db4905:0xee83828b87b91fb5,Foxface,40.7276628,-73.9857399,4.8,Manhattan,11
0x89c24550625c020f:0x906d0619a1727c99,Oxy Caffe,40.6327139,-74.0211861,4.5,Brooklyn,15
0x89c25c59a4195ec7:0x58c8a0843a8b495d,Smokey Island Grille,40.668031,-73.9028639,3.9,Brooklyn,0
0x89c25f2ba5eb80db:0xbb155cd1d90bf7d4,BARRIO TAQUERIA,40.7587585,-73.92551639999999,4.4,Queens,41
0x89c25f02c5ce675b:0x8f1b6be1ec9ab19b,The spot hookah lounge,40.7580648,-73.9166018,4.2,Queens,6
0x89c25ed7f565d53f:0xdb36900274d7e48a,Always Sunny Deli & Grocery,40.7456933,-73.9241813,3.7,Staten Island,46
0x89c25ec4a8ec8fed:0x7264bd5a9e510b00,AAA Deli & Grocery,40.7355818,-73.9185945,4.4,Queens,37
0x89c25d88ca0a6d89:0xa4b4361635a0f0b,Crab Bros - Cajun Seafood Express,40.6854902,-73.92979369999999,4.5,Brooklyn,33
0x89c25ab9ec3f44ad:0x899a48523914e4d,Cordoba Deli,40.651302,-74.011321,4.5,Brooklyn,37
0x89c2f4377b93d3c7:0xc02f61d4d5a39b8f,Cassandra's Bakery,40.834206699999996,-73.9159121,3.7,Bronx,25
0x89c25f36afc5d165:0x5a83a5b94467420,Jin,40.7077314,-73.8972668,4.3,Queens,30
0x89c2599a9e21a3a9:0x6168ac48482cecb1,Little Atlas Cafe,40.728573999999995,-73.99472999999999,4.3,Manhattan,46
0x89c25f9248c20825:0x6a57a5bf4c1a25f8,Sweetory,40.746395899999996,-73.89388439999999,4.4,Queens,5
0x89c258d1da0d8dd1:0xf3eda0a7838b81b3,The Sanchez Luncheonette,40.759063,-73.94402099999999,4.5,Queens,47
0x89c260e8b4eb9f3f:0x73e69b1402b86f45,Dart Inn,40.7151856,-73.807926,4.0,Queens,6
0x89c2454d9d0e6a6d:0x7a50e668538b63cb,Karen Deli,40.638710499999995,-74.0173472,3.9,Brooklyn,37
0x89c25c3c4a3605af:0xd2c8fb9c59df8873,Beijing House,40.6915767,-73.90927529999999,4.0,Brooklyn,13
0x89c2594c3341ff4b:0x63d955eac16d7543,The Bun Hut,40.72022,-73.98396749999999,4.8,Manhattan,0
0x89c245603833b84f:0xa08743fd9c609e12,Darn Donuts,40.621275399999995,-74.02865129999999,4.4,Brooklyn,4
0x89c260c488cafb8f:0xc58735df14500bc8,Tacos Carmelita Truck,40.7048797,-73.8091993,4.4,Queens,41
0x89c25853ddc42bd1:0x225d636b0f5feef,Yuri Sushi,40.7607674,-73.9905512,4.4,Manhattan,40
0x89c258dd3fbff5a3:0x5c222045178cc9ac,Prime at The Bentley,40.760284899999995,-73.9581967,3.8,Manhattan,32
0x89c25977d62115af:0x967b4d7232d89762,Poke & Roll Sushi,40.727519,-73.98298659999999,4.9,Manhattan,40
0x89c25bc642cd7a6f:0xc2683190c6b79451,Seaport House,40.7074488,-74.0018953,4.3,Manhattan,33
0x89c2592eb1a89dbb:0x2ab17aefd854646f,"MOOYAH Burgers, Fries & Shakes",40.75215,-73.98916,4.6,Manhattan,3
0x89c25a1e252c2f35:0x8d72fae346be0208,The Harrison,40.7189324,-74.0100947,4.2,Manhattan,16
0x89c25ac7c6e5d6ed:0x60d5c8adb0218191,China Delight,40.650432099999996,-74.0046059,3.9,Brooklyn,13
0x89c24f505028462d:0xb4761f8f3c738798,Campania,40.5852436,-74.0937593,4.2,Staten Island,2
0x89c258ef721ed24f:0xd185892b8061382e,David Burke Townhouse,40.7638399,-73.9675383,4.3,Manhattan,28
0x89c25dbbdf2ff387:0x26b221925ff670e7,El Nuevo Jarabacoa,40.6750281,-73.8730921,4.1,Brooklyn,13
0x89c25ab71e57766f:0x2ac3a6f0f6bf1a32,Eden Deli Grocery,40.6478685,-74.0105803,4.5,Brooklyn,9
0x89c24fac7611e07f:0xa3c8e3b61b2f12df,Via Margherita Ristorante Italiano,40.6145188,-74.0730439,4.4,Staten Island,49
0x89c258f91f8ab791:0x1de9f905cface75f,Heartland Brewery,40.7609643,-73.9806936,3.7,Manhattan,27
0x89c25a20e8ad7d27:0xad039d533f6553e7,Civic Deli,40.7160941,-74.0036172,3.8,Manhattan,37
0x89c25bc7b0f21041:0x1779cbf9625eeb3b,Calyer,40.693908,-73.963956,4.9,Brooklyn,11
0x89c25dbb7f1d58b7:0xfb49cd394c4eac15,Tre Jolie Cafe lounge,40.6838848,-73.9078553,4.4,Brooklyn,6
0x89c25f0130040001:0x7b92db758a50fffd,Kanchanjunga,40.7465743,-73.8926477,4.3,Queens,0
0x89c24ee46addecb5:0x580739d934897cf9,No 1 Chinese Kitchen,40.5971696,-74.0842435,3.7,Staten Island,13
0x89c24336b1cee25d:0x345912c0f577f943,Bergen Beach Cafe,40.6198494,-73.9068869,4.6,Brooklyn,2
0x89c24302e3c9f92b:0xed7304d284ff4aea,CCS RAVIOLI OF AVE. N,40.6193467,-73.9241907,4.6,Brooklyn,49
0x89c244f8f3981181:0xa056ac6df9017230,Joe’s Bar G & P's Sports Bar and Grill,40.597046,-73.974643,4.7,Brooklyn,6
0x89c261141f30371f:0xe97b4209e1e41dd3,Mannan Bakery,40.7101483,-73.7950929,3.6,Queens,25
0x89c259a811eee509:0x725072071272ebb1,SMASHED,40.7218205,-73.98858129999999,4.7,Manhattan,3
0x89c258bcc7ee15df:0xda07759f9a30ee28,Teavana,40.7799444,-73.9550395,4.3,Manhattan,31
0x89c259404d732263:0x42b10109f68738c4,Shayz Lounge,40.729361,-73.9573735,4.5,Brooklyn,6
0x89c2452e01309fbf:0x8a30954d0c69bdd3,"Nathan's Famous, Coney Island Boardwalk",40.573285,-73.9798418,3.7,Brooklyn,26
0x89c2598c6359929f:0x461700d08ab4fcd0,Kittichai,40.724,-74.003,4.2,Manhattan,36
0x89c2680cc33b4c37:0x9ecc4cccfd30d898,Tommy's Pizza,40.6061476,-73.8198135,4.4,Queens,24
0x89c25b14bb9f1805:0xd9dc251ead4e60f,J & J Delicious Cakes,40.6571815,-73.9605129,4.8,Brooklyn,25
0x89c25982c3347a0f:0x42838e77834369f9,Jose Luis,40.7278642,-73.9794103,4.9,Manhattan,49
0x89c2f63e1538559b:0x2dc20760b97aebae,Nous Espresso,40.807419499999995,-73.9609062,4.3,Manhattan,15
0x89c245f9790eff9d:0x84710a0252b3a2ac,Joe-Joe's Green Bar,40.608018,-73.96149369999999,4.9,Brooklyn,42
0x89c2f382c7d8fe95:0xaeace2cbda98f922,Lenas,40.869681799999995,-73.89048559999999,4.6,Bronx,41
0x89c24351adad2b23:0xd28420ec6bf9830,Katou Restaurant LLC,40.621259699999996,-73.9266181,4.3,Brooklyn,5
0x89c244af91a0eb79:0xf92fdf76a9ffa345,Moses Grill Bar,40.6097536,-73.9628116,4.1,Brooklyn,5
0x89c2f4b4461ea203:0x988b8a58b903cef9,Jade Garden Restaurant,40.8374714,-73.84610219999999,4.4,Bronx,13
0x89c25b967f5d010b:0x208f706931a77763,Hong Kong Cafe,40.687199,-73.9566699,4.6,Brooklyn,13
0x89c2f79903be3e6d:0x49b9fde5265b00e7,Broadway Slice,40.838841699999996,-73.9409496,4.2,Manhattan,24
0x89c25f8b4adf4e99:0xbe8c4b78b8774dc6,Mister Cangrejo,40.7559283,-73.88378689999999,4.2,Queens,0
0x89c2f371faaffcdd:0x3bd0312c4ad15e03,AKS Halal Deli & Grill,40.8726404,-73.8780045,3.7,Bronx,37
0x89c25e25ceaea1e7:0x861ce1e19f8d5c3c,Asian Fortune,40.724384799999996,-73.8490953,3.9,Queens,12
0x89c28b5745afa4f5:0x2a5735e69b3ed653,Two Brothers Pizzeria,40.84766,-73.831099,4.2,Bronx,24
0x89c25ef412a17257:0x5da118829f91bb,Le Moment,40.726446599999996,-73.89407659999999,4.5,Queens,31
0x89c260c0ba1f9fc5:0xcf71a53cc5750b25,Maxim Garden,40.7074736,-73.8171134,3.4,Queens,13
0x89c26608c4f63647:0x1217786a3e201162,Tang's Garden,40.6150987,-73.7527885,3.9,Manhattan,13
0x89c2608c65e90001:0x117e9e978203ad2c,Metsuyan Blue,40.7263008,-73.8219761,4.2,Queens,40
0x89c25b6407f98951:0xf66b73b4a091bbd0,Subway,40.655715099999995,-73.9420694,3.8,Brooklyn,11
0x89c25bd30664f575:0xc565ff8d54a68fb8,FancyFree,40.6872855,-73.97546489999999,4.6,Brooklyn,6
0x89c261eb0260be21:0x261fdd592fab49bd,Numidia,40.7117299,-73.7877326,4.5,Queens,5
0x89c2611eafd475d1:0x787cdfe2ba5d2413,Delicias Cuencanas Restaurant,40.7117772,-73.78950449999999,4.2,Queens,35
0x89c26110be2b8525:0x23c9b3ae6302d132,Roti Corner,40.7129453,-73.7819078,4.0,Queens,0
0x89c2f704fcdc60c7:0x7e1a0d5a1421e8f8,Eatery 125,40.805822899999995,-73.940276,4.1,Manhattan,7
0x89c259d10e654f89:0x62d82b277df2095a,Sandbar Rooftop,40.7455564,-73.9937483,4.0,Manhattan,32
0x89c2455bb8e95d9b:0x44ce98b5352a4c59,Subway,40.6288913,-74.0226218,4.0,Brooklyn,11
0x89c25c52649dbd3b:0x36c162eac345e664,Crown Fried Chicken & Pizza,40.6723151,-73.8922226,4.1,Brooklyn,10
0x89c25d83793aaecf:0x6a3a7fa5cf682bcb,Abuela Antonia,40.674969,-73.91081299999999,4.4,Brooklyn,9
0x89c25af9607522f3:0xc0e2513f62426539,Michael & Ping's,40.6720849,-73.9901426,4.3,Brooklyn,13
0x89c258e28eac5777:0x58a51dd7c41453cf,Poulette Rotisserie Chicken,40.7539924,-73.9685831,4.5,Manhattan,0
0x89c2450ac476b7bb:0xedbdf3752fb81ea0,Ten Seconds Yunnan Rice Noodle,40.6038437,-73.99668319999999,4.2,Brooklyn,29
0x89c2f4e98d018f17:0xe1e039c224cf570a,Azteca Bakery,40.8320406,-73.865028,4.5,Bronx,25
0x89c25f917a9106f3:0xa0a9ba692fe0d8b1,Gorkhali,40.747053799999996,-73.8882749,3.9,Queens,5
0x89c2f5dc6b91e8ef:0x7b48dbe5a82c48ec,El Taquitos Steak House,40.8105452,-73.9283863,4.4,Bronx,41
0x89c2f46500000001:0xecf0defb1cc34734,Enelia's Party & Bakery Distribution,40.846983,-73.896655,4.2,Bronx,25
0x89c2617339830763:0xa99608f683410fb6,Xi Top BBQ 西塔烧烤 | 中韩烧烤,40.762527999999996,-73.815142,4.6,Queens,21
