gmap_id,total_chars,total_words,review_count,avg_rating,rating_std
0x406608bb2959f1df:0xacfd63ea4ee2b0ff,2315,417,70,3.7142857142857144,1.3093073414159544
0x406608bb351bf999:0xa098d2e2c68514b3,2611,461,28,4.5,0.8819171036881969
0x40660f406ae34bd3:0xc0ff09bf8cc0dd08,51188,9255,532,4.216165413533835,1.0928124856971961
0x40660fce2dc4b68f:0x37d180de5d5718a0,18613,3300,261,4.448275862068965,0.9041607331109524
0x4ccc5d484a67a325:0xb02f48d924fa670,7668,1382,158,4.537974683544304,0.8265967057789887
0x4ccc5d48fab13653:0xdc9c08e326c176f6,299,49,12,4.5,0.9045340337332907
0x4ccc5d681d36427d:0xa15a2c15954649bf,22286,4022,304,4.246710526315789,1.0252532658630058
0x80857df82b810e9d:0x8876a56855db7c68,1527,288,38,3.4210526315789473,1.3682021928056882
0x808f80b5fdd572c7:0x9ec2262b717b6d95,38731,6842,343,4.486880466472303,0.8195187614019831
0x80903cc0c31bf235:0xf0b513f18625162c,4097,719,15,4.4,1.4040757000349275
0x80c354ed4e62f453:0x37e52c2ede11184a,800,142,12,4.416666666666667,0.7929614610987591
0x80dbf8ec4c654bef:0x70956f163ddae858,830,157,25,3.72,1.4
0x80dca1b640ee2847:0xc5667b31ff313efa,834,154,11,4.090909090909091,1.1361818036340359
0x80dcf1b20eebcccb:0x49b38f8e285349cc,448,82,11,4.181818181818182,0.873862897505303
0x8620a6183c33c257:0x9da3f5d41287aba9,652,113,15,4.066666666666666,0.9611501047232549
0x8640b3aa469d4ffb:0x3b438f775754060d,41865,7493,475,3.8378947368421055,1.1946769197079137
0x865c5b650e1a38d5:0x741e806363746420,618,115,20,4.05,1.3562719801759993
0x86e26e53b575be47:0x1b6e285d89c20619,19522,3518,257,4.307392996108949,0.8765966533172507
0x871348e5996fe7bb:0x4f243afec19ceac,1195,223,22,3.1363636363636362,1.5211353699959822
0x872b740e29d46379:0x5ebddd5a9a602d45,627,110,10,3.1,2.024845673131659
0x87528c9542a10677:0xd6a70c370770588c,3372,623,93,4.333333333333333,1.1547005383792515
0x875308b254b65e31:0x750d666b96edb922,510,87,11,3.909090909090909,1.6403990645294488
0x87b781ec0ab42ea5:0xbd694efa9d38c030,2765,499,36,4.75,0.7699721701835353
0x87c058091d77d385:0x71759dcc2dc87233,781,142,22,4.045454545454546,1.2527027058580456
0x87ee0d4d95258769:0x88111f782ea255e2,21082,3763,239,4.2552301255230125,0.9945882183751505
0x885ce69625e116c5:0x9e8c2b51d962ae5e,37404,6492,389,4.5681233933161955,0.7822857238931391
0x8888614622dac6a9:0x249e757d0b3f11c1,14969,2661,270,4.262962962962963,0.8543125448415909
0x88c2c14856472ef1:0x9679361349d5c211,3250,588,48,4.625,0.8660254037844387
0x88e6937dcca0d5cd:0x9c01f5572b11a419,4885,883,41,4.609756097560975,0.7374974162831964
0x89af227d16113d93:0x646b64e1ee53ee9c,4903,899,89,4.157303370786517,0.9758315382335393
0x89b207e27ee8a731:0x83e9ac9a3d1685ee,19896,3404,190,4.594736842105263,0.6578574202727855
0x89c0fd39aa018105:0x68f6328144c40b6b,21743,3965,309,4.093851132686084,0.9367641131792978
0x89c19dcd349c904f:0xdc66c5f1252246a4,19312,3498,539,3.9072356215213357,1.2535168230988953
0x89c2424625b245eb:0x225ea130a3b62ec8,23142,4261,618,4.514563106796117,0.7427324077758496
0x89c2424ba11d2f61:0xd53c1f2ea0374b60,883,159,29,4.379310344827586,0.9416472308615167
0x89c2427d8a675523:0x5eb5ec2d20caf88d,4881,862,71,4.802816901408451,0.40070360652443626
0x89c242876697e3df:0x7c25cd2ab3f7c8cf,5509,1009,54,4.592592592592593,0.8130659078513455
0x89c24287683f0feb:0x80af5ed3a8fc80b7,7897,1456,111,4.126126126126126,1.168659816099521
0x89c24287686399ff:0xa9f03d86be4fb29f,21679,3865,318,4.411949685534591,0.9074430941217757
0x89c2428768c08057:0xda62076ad9124c77,2375,415,47,3.9361702127659575,1.2752536886430792
0x89c2428768f09371:0x64517d3c2dcfa082,2571,473,59,4.1525423728813555,1.1112831868832735
0x89c242876bb06cc1:0x85b388a2ef756701,635,114,38,4.105263157894737,1.2033618153348453
0x89c242876c811dc5:0xdf14bda483bc5559,1568,290,34,4.088235294117647,1.3341129627975499
0x89c24300e567749d:0x9076f445b867d499,716,127,21,4.714285714285714,0.9023778112773575
0x89c24302e3c9f92b:0xed7304d284ff4aea,2899,515,44,4.613636363636363,0.6547113367438263
0x89c2430c6aa386c9:0x5d124de94edf6852,3258,610,110,3.790909090909091,1.4148326613241669
0x89c2430e2482db71:0x19917abbdc8fbfc,2351,419,40,4.55,0.9323254631461962
0x89c24326940610b9:0x77c5d576089a4835,2224,407,24,4.5,0.7801894976054938
0x89c243272c97866d:0xf81afe0984502dac,10778,2023,114,4.280701754385965,1.1011560452207025
0x89c243294b0595ed:0xdcbb2591100c118f,1612,287,41,3.5609756097560976,1.5976354479011297
0x89c2432f13552675:0x81aea5e9f90a9b27,880,166,16,3.625,1.408308678285174
0x89c24333c02f29a1:0xcde61e357b6e9529,6833,1194,123,4.569105691056911,0.8785354878955868
0x89c24336b1cee25d:0x345912c0f577f943,3197,589,58,4.568965517241379,0.7748699713334423
0x89c24336b1f24613:0xb58d1976051bfdf1,7651,1434,86,4.0813953488372094,1.3992865096105627
0x89c24337175ca02d:0xfd9ba1d81ec68878,13629,2476,169,4.0,1.3844373104863457
0x89c24337942eb0ef:0xc78e3fe71c7c16b2,4670,863,181,3.9337016574585637,1.2092339629550206
0x89c2433795057ae5:0x68c8ab8efc52b8cd,2437,429,24,4.125,1.2618998788920721
0x89c24337951b3ddd:0x9c0a224eb134b950,26276,4689,432,4.386574074074074,0.9806032160635257
0x89c24337951e32df:0x9b713b263e0f3264,4656,858,65,4.415384615384616,1.0291426603657123
0x89c243379dbe86c1:0x6e6dc8fa639de3c8,9811,1742,125,4.16,1.1667434690542071
0x89c24338823558f3:0xa7a13771b097ca15,1730,300,38,4.605263157894737,0.8554901766763653
0x89c2433886780525:0xd55036eaf6ce2c0e,14110,2558,162,4.58641975308642,0.9629474791273425
0x89c243389e2658cd:0xb23dcd199a07f25b,3394,613,50,4.22,1.2823766201543008
0x89c243408c98d07d:0x6a2b546888859dae,17351,3031,144,4.3125,1.1794792616537726
0x89c243408c99b277:0xc10ee6bc8c92d267,8672,1590,236,4.423728813559322,0.907714264358249
0x89c24340c9faf567:0x85b1fcebe82dab3e,9056,1628,100,4.37,1.011599393699568
0x89c24342362b5a85:0x58d80f3dbb675e09,3740,703,105,3.9904761904761905,1.2518850255579055
0x89c24342362b7ef7:0x2ba18c8b81e5355a,919,163,13,4.076923076923077,1.2557559782549623
0x89c24342362bb109:0xa5b5127f48da3fe0,7550,1403,176,3.965909090909091,1.2508179142247102
0x89c24342362d8e49:0x566be590b7894d2b,3785,712,121,4.041322314049586,1.2806033357684443
0x89c243424652ac73:0xf939a50340de05a1,6787,1274,261,4.049808429118774,1.1474930709049316
0x89c243426d685981:0x2c0016a4443034b8,7125,1321,322,4.099378881987578,1.153107511849116
0x89c24342b6ac257d:0x26631fd923608723,4658,865,60,3.9833333333333334,1.2280847244369912
0x89c24342e35b5029:0xeab4e157dc4ba91d,1644,299,36,3.611111111111111,1.5170983163879992
0x89c24342e48f6e11:0x7d86dcef293bbc98,3636,644,72,4.041666666666667,1.27198968017782
0x89c24342ef5d362b:0xae7bf1073a473fc,5196,966,66,4.424242424242424,1.0821716920598001
0x89c24343ab3c4adf:0xdb70527378249cd5,1374,249,15,4.066666666666666,0.8837151016885367
0x89c24343ab3c4adf:0xe3a10e6c417edfce,4808,842,53,4.113207547169812,1.325205025625071
0x89c24343ab3c4adf:0xfb7370c49a9db106,312065,56953,7209,4.228741850464697,1.0200409047493049
0x89c24343b03b31b7:0x8c3844bdc5724c98,5184,960,206,3.8446601941747574,1.251397513832947
0x89c24343b9fac0a9:0x416a74e8a2283961,12204,2259,371,3.8517520215633425,1.3016064514885877
0x89c24343bb3fd0e5:0xf7349410546f030c,3267,608,85,3.9176470588235293,1.3202792336857991
0x89c24343d11e372d:0x5bce1282e4808144,10235,1879,412,3.7572815533980584,1.2727044172444335
0x89c24345d805c071:0xe6b3420a2b6cddd5,1728,327,22,3.8636363636363638,1.2069423999139133
0x89c243467697dd4b:0xaf8ba98d2350e6bb,6033,1100,97,4.371134020618556,0.9716779690830573
0x89c2434676f3f339:0xe12123de14a7e8a7,22105,3988,354,4.268361581920904,1.0450282261901032
0x89c24346ef4068c7:0x92ef56830d746e0d,6535,1214,104,4.653846153846154,0.8097612109875446
0x89c24347522fca1d:0xa07f9d591f55f74,16201,2870,240,4.533333333333333,0.8767888667609053
0x89c24347861c3bc7:0xd5c354e5e6023d75,16560,2983,336,4.413690476190476,0.936007755755474
0x89c24347e9ea6b1b:0xd6a30faedc6da6c2,1231,227,10,4.8,0.632455532033676
0x89c24347ee4391f9:0x6354c8bec1b06bbd,6043,1116,103,3.970873786407767,1.279217826884787
0x89c24347f5463faf:0x593d52168540e628,1175,219,20,4.6,0.5026246899500346
0x89c24348d671c7f3:0x5d976d1855669922,8625,1546,134,4.649253731343284,0.7485069116517789
0x89c24348d72c24fd:0x5cfdf9c9b4305ed7,4893,885,81,4.246913580246914,1.0900787150193658
0x89c24348e27f3927:0xd13481fc8916f902,7048,1286,141,4.028368794326241,1.2702264275730386
0x89c24348fd0d9acf:0xe318dfeaed5b872,12472,2226,211,4.5260663507109005,0.8182636525597536
0x89c24348fd944367:0x9880674ed46d8b77,8280,1466,189,4.677248677248677,0.6329270457781815
0x89c24349017d2d33:0xab4d98e0fa79c189,2429,457,28,3.4285714285714284,1.5969547740197747
0x89c243491b7f7a0b:0xa0fcc20157f38309,1095,189,18,4.166666666666667,1.2004900959975615
0x89c243491d5bb3eb:0x8960a0e9eaec0d35,3645,665,57,3.754385964912281,1.4177535267657217
0x89c243493eb7b081:0x27af10b6673a99de,34655,6407,884,4.524886877828054,0.7981096640728662
0x89c2434b31b2a52f:0x8f407dd1271d9fd3,16841,3136,405,4.120987654320988,1.0957519287918995
0x89c2434b48c62d41:0xc43642d2165ed0b3,3332,567,44,4.545454545454546,1.021957662039927
0x89c2434b5b637f8f:0xcddfe3567d8eeef8,56860,10585,992,3.9606854838709675,1.2308950636797151
0x89c2434db4cc9bfd:0xb75cf5607d75df5,512,99,23,4.391304347826087,1.0330506647252728
0x89c2434f28a3e1ef:0xa78c51fe7d77c18c,10270,1820,135,4.644444444444445,0.6631749354618856
0x89c2434f2968eee7:0x8d2408278272720e,4931,839,92,4.684782608695652,0.725203235266826
0x89c2434fa3e74ba1:0xf9de0fa872c49792,332,54,10,4.4,0.8432740427115678
0x89c2434fa71d5481:0xe1138e8eaee6deea,6401,1092,145,4.558620689655172,0.8154400828605572
0x89c2434fbbf9c973:0x7c004545aff99866,8281,1535,134,4.507462686567164,0.8384219751245044
0x89c2434fe5c52f61:0x3930c71a6e4e813c,13833,2369,291,4.3367697594501715,0.9303254224378051
0x89c243501e4ad783:0xd68085c84d348ec8,1419,252,39,3.7948717948717947,1.39886207851591
0x89c2435063499867:0x64be3f2ede9487dc,3123,576,57,4.56140350877193,0.8867586211198208
0x89c243507983ffff:0x2b7c8da2b4af823,1040,185,29,4.413793103448276,1.0183053632422263
0x89c24350f7b22a47:0x2ecd0aa84ca46bb8,16088,2994,145,4.124137931034483,1.177820247914964
0x89c24351adad2b23:0xd28420ec6bf9830,2730,509,54,4.388888888888889,0.9984264349024166
0x89c24351bb70c7f5:0x61c22420480ceecc,5781,1041,72,4.305555555555555,0.9290141509389171
0x89c2435303408699:0xc426e77e8722b8e5,19304,3539,357,4.131652661064426,1.0689860849437158
0x89c24353a4cac1c1:0xba3bb221e421d59d,2648,483,46,3.6956521739130435,1.2448929488539486
0x89c24353b1eeb1f3:0x82907ef3f3a7c2da,3125,583,39,4.153846153846154,1.1130437533004411
0x89c243578d18ceab:0x8ce74d3a3716cc78,38534,7111,616,4.391233766233766,0.9767314518353185
0x89c24357d579d77b:0x7f4ee4815a86ea1b,2130,389,35,4.085714285714285,1.0946777277953053
0x89c2435827981d31:0x16c261e0ab989864,3392,605,115,4.356521739130435,0.8805032885741718
0x89c243582ebf5759:0xc917291b14b66fd9,3115,553,43,4.3023255813953485,1.058635323714321
0x89c243599b11caad:0x5b4967be41e680b9,10526,1914,279,3.7562724014336917,1.2742984009796046
0x89c24359b845a4f5:0x3764060ffb42f789,1665,318,42,4.142857142857143,1.0017406453556186
0x89c24359b9045c51:0xf0152110531cc1d4,31036,5505,557,4.314183123877918,0.989166091378687
0x89c24359bba37efd:0xcbd2c3ecaf586513,8037,1420,82,4.487804878048781,0.9328557301690571
0x89c24359bc3e177b:0x644f6fb92d710755,19540,3561,330,4.451515151515151,0.9054449315589788
0x89c24359c628da41:0x170b4c305a73c9d2,23998,4513,277,4.256317689530686,1.0747454097641616
0x89c24359c8c7515b:0x42d4fe16db4e19c,4271,776,81,4.135802469135802,1.0577462647033207
0x89c24359c9096605:0xa3d5229becfd5df,5984,1126,46,4.021739130434782,1.255903931831706
0x89c24359c91affff:0x9d1806be36c69fc1,330,61,19,4.157894736842105,1.302269723501448
0x89c24359c95e79f9:0xdce6bb1cbef3fa0d,1206,221,16,4.1875,1.1086778913041726
0x89c24359d4f061c7:0x9b3e9e710cf29ca3,4221,832,34,4.352941176470588,0.8486121625899217
0x89c24359e37ca66f:0xdf1d3a81015904e4,21182,3763,284,4.577464788732394,0.7311730606991625
0x89c24359e50b3837:0x234cdc3b1eb79e28,11072,1966,168,4.529761904761905,0.8328983752236778
0x89c24359e53c121b:0x45d1a33abb15b76a,1821,329,19,5.0,0.0
0x89c24359fb1405db:0x88e5dac270694050,12294,2124,129,4.542635658914729,0.8004661916852002
0x89c2435a04367a79:0xa8d7e0ac8c4f6069,5219,918,61,4.721311475409836,0.7101912310775553
0x89c2435a063dda9b:0x85878e6aff988e78,1378,262,26,3.9615384615384617,1.3109010406821477
0x89c2435a063e2deb:0xaa1b72a68a4a8fb5,1807,334,45,4.044444444444444,1.3644105546411467
0x89c2435a06972bbf:0xfe21ea1234706aa4,2516,470,83,4.518072289156627,0.888427574811903
0x89c2435a0747c16b:0x7b063fab66a2f514,1787,326,34,4.235294117647059,1.0747465812477577
0x89c2435a08d324bb:0xea15b1f72e1872b3,4453,855,28,2.5357142857142856,1.261455445614248
0x89c2435b61472b8b:0xd50ce49069e9b46c,7263,1326,149,3.771812080536913,1.3106672808933726
0x89c2435b7760894d:0x67428dd2a6f18cf4,57224,10566,999,3.903903903903904,1.1897924133008537
0x89c2435bc5504cdb:0x9236d805a8236370,7487,1389,168,4.357142857142857,0.8636762692308423
0x89c2435bd72647ab:0x26c731e81bd375ec,25861,4632,444,4.416666666666667,0.9187250301168082
0x89c2435be9e4d483:0xf282ebc207844072,37738,6969,1098,3.914389799635701,1.241177669204591
0x89c2435c95135d17:0x9f266033689ea214,5910,1071,92,4.195652173913044,1.1117665423642216
0x89c2435d0ffc3aa9:0xac01a7c9250829a0,1464,276,14,4.0,1.3008872711759816
0x89c2435d20ce9169:0x57437636548017aa,19836,3690,252,3.738095238095238,1.3839061953136251
0x89c2435d53a9b141:0x7e8c09a57c648d41,4484,827,40,3.9,1.2567765033955638
0x89c2435e1efae391:0xf4029a3da3f9b3af,1953,339,14,4.285714285714286,1.0690449676496978
0x89c2435e27af5179:0xfc5a9c91e71bcd56,397,78,18,3.888888888888889,1.131832916836221
0x89c243609caf8ca5:0xbbbc96265f974a2c,4704,862,98,4.326530612244898,1.0332164791889753
0x89c243609fe50fd3:0x624c72dc9c190dc7,1263,246,19,3.4210526315789473,1.261207070569223
0x89c243625794e463:0x15f3fc6cbb05c57,1985,370,53,4.6415094339622645,0.9007334537569819
0x89c243628dbe2219:0xb39f9634e1426047,17992,3116,293,4.399317406143345,1.057069909109106
0x89c24362bef00001:0xb8a50dc81ccdbbfe,2579,465,54,3.7777777777777777,1.3963114031587636
0x89c24362c1b5845b:0xfe50166d5830d9a5,8007,1477,187,3.679144385026738,1.369303769210549
0x89c24362cc22d299:0x8441b78f5b23842a,26124,4782,438,4.267123287671233,1.107232903819624
0x89c24362ce2bc98b:0x9ba2f8282c719d4,3707,690,71,3.76056338028169,1.4388962906378164
0x89c24362cf467b35:0x3b7bf7b53dd4fc93,2123,397,38,4.105263157894737,1.2033618153348453
0x89c24362f4c4b7c1:0x362d8b7f88d06510,4756,831,106,4.377358490566038,0.8668808913480367
0x89c2436b0a3d8df5:0x7fdcb6197b7c76d6,103738,18767,1264,4.261867088607595,1.0899098125905033
0x89c24377a4a06e01:0xa8f56b036887aaa3,1444,258,27,4.7407407407407405,0.7121253450920751
0x89c24379ed8b5783:0x44b3ac12b1ecdb6b,5502,991,103,4.514563106796117,0.8841089196263108
0x89c24379edb13641:0x8826247d236711de,3216,589,60,4.383333333333334,0.9404590777041596
0x89c24379ee7b3ebf:0x8133ee893b57262a,435,75,16,4.5,0.894427190999916
0x89c24379f28971bd:0x317c8a861b92931e,4929,894,84,4.428571428571429,0.8542694234540626
0x89c2437a2d19d0a9:0x23d6d40e025fdc12,337,61,14,4.5,0.6504436355879909
0x89c2437bc90610cd:0x7008bcba2ed62573,106,18,21,4.428571428571429,0.9783367810436534
0x89c2437db063b04f:0x787d0abf3eb2fc97,975,185,17,4.117647058823529,0.781213234429025
0x89c2437db063b04f:0x8549ddb713126625,5897,1076,207,4.130434782608695,1.055448786130109
0x89c24381634aab27:0x21a2b48f1a468fc8,3436,611,116,3.8189655172413794,1.3094913578148974
0x89c24381723c63a1:0xdd95fd5c560704ef,8644,1588,208,4.293269230769231,0.9456500382263373
0x89c243830c063699:0xc65a89c953dbba86,35673,6412,563,4.321492007104796,0.979150938307971
0x89c24383cb43293f:0x66e15a23d419d1a2,116592,21768,1540,3.5331168831168833,1.4273188647338433
0x89c24383d25d296d:0x8a33ce15e654b72f,19113,3503,356,4.292134831460674,1.058324449743176
0x89c24383d25d296d:0xf54194da12dc521a,37145,6732,528,4.284090909090909,1.0191583792357959
0x89c24386d6f10445:0x445f249d6b1d1858,401,67,13,4.0,1.5275252316519468
0x89c24386d90c493f:0x9a736ee76c2773eb,18977,3355,309,4.009708737864078,1.270252651250064
0x89c24387593cdf3b:0x8e951bb56ba0c4be,1309,231,14,4.928571428571429,0.26726124191242445
0x89c243a34caf1609:0xa4e7460ebeaa7b54,1839,335,19,4.473684210526316,1.020262550775348
0x89c243b49296647f:0x38835cd3fc6e02f4,7610,1347,93,4.258064516129032,1.041562640902054
0x89c243b49296647f:0x434084eb01ff94fc,17831,3082,313,4.565495207667731,0.6908452372303672
0x89c243b492c04a7b:0x7b7cdafe0f38190d,14412,2619,129,4.387596899224806,0.9126718803821612
0x89c243bab75f2325:0xf6786b3b88d022fc,2187,389,21,4.619047619047619,0.9734572654303051
0x89c243c25555554f:0x2a8ec3400c24d8e7,4182,772,78,4.076923076923077,1.2563524897183826
0x89c243c6ee0a197d:0x9699178d89891cbc,1532,285,11,5.0,0.0
0x89c243cd45ecf831:0x189fe92d8efafd57,2126,377,33,4.515151515151516,1.0344446614371197
0x89c243dbfe526123:0xc4b16958aa0af0da,1748,334,15,4.266666666666667,1.162919151265879
0x89c243ff1c927099:0x5de075a47e518c23,3450,619,75,4.066666666666666,1.287500546663052
0x89c244344621034d:0x67aed13d8e12d6b4,4426,796,84,4.333333333333333,1.112181545955811
0x89c2443457b3fadb:0xafe9e37ab58edfc5,23549,4265,214,3.939252336448598,1.1871975134860164
0x89c24434f14337c9:0xbfa6dd0a67a97aa4,13227,2407,210,3.9952380952380953,1.078265571000025
0x89c244350b1686f3:0x4fab9614e9cee27f,14998,2767,364,3.848901098901099,1.3181186614332663
0x89c2443510ba52c7:0xfe70a67cd7839596,52142,9700,385,3.5948051948051947,1.36434280041941
0x89c2443538c0c16f:0x1dba885508c18e9d,1444,264,34,4.117647058823529,1.249598866117927
0x89c244353bf03ccd:0xc2aee1878196fd6f,8770,1583,138,4.579710144927536,0.8354516607288408
0x89c244353f830641:0x7236f2dccccf97c0,351930,64533,6174,4.277129899578879,1.0114227517706806
0x89c244353f83089d:0xc4184f04f9996c18,69602,12931,980,3.5673469387755103,1.3793142372599831
0x89c24435511aae27:0x13f7b14c307e93ac,42983,7539,700,4.412857142857143,0.9758780835360615
0x89c244355e5b6963:0x9ba1f61077d42a7,3440,648,45,4.266666666666667,1.1560119533826787
0x89c244356e4bf9b1:0xefc603d1b631d6ad,8352,1543,281,3.907473309608541,1.2501347156689926
0x89c2443572f7dd79:0xdaab051dec7d13f,1079,198,32,3.71875,1.4420946906407335
0x89c2443572fa6051:0x9398466ee47bccf5,27758,4985,608,4.402960526315789,0.9293623888664698
0x89c24435762ee3b7:0x279ae3c22f6d044,30416,5559,479,4.206680584551148,1.0314496259220418
0x89c244359265caf5:0xe74ec5e4397e1c6a,78166,14137,1449,4.106970324361629,1.1316697924511252
0x89c244359c66b7a9:0x6ff4bd28aa3b6b80,17224,3171,303,4.075907590759076,1.1526734335501916
0x89c244359d12bb19:0x43bc8570a876ce4c,11501,2014,226,4.176991150442478,1.047579970921978
0x89c24435a7ec0bd3:0x6093047a96e8d836,13819,2454,182,4.252747252747253,1.1714222039746325
0x89c24435c8361e65:0x27c4853806f5bf30,10192,1812,164,4.152439024390244,1.0005796614142486
0x89c24435e5550083:0x6e9bfd49a188c90b,12622,2240,237,4.270042194092827,1.1060643688513898
0x89c244403fc3a78d:0x673ff8554b77197d,59761,10342,727,3.9147180192572213,1.2956339680075637
0x89c244408cbf03db:0x6f3b8b2ed673825e,15054,2666,260,3.85,1.302136646270216
0x89c24440d3fd66cf:0x8c7a9c26bfb65626,17315,3017,249,4.269076305220883,1.108929823309394
0x89c24440d84a2a0d:0x13deae360583310f,11341,1924,194,4.453608247422681,1.0232592300841235
0x89c24440d8cad05f:0xa8b55530c203d933,20281,3478,318,4.371069182389937,1.0144287703996127
0x89c24440f4c40773:0x311e2acaaa3e2d44,7082,1250,102,3.9901960784313726,1.3237742175289449
0x89c244410425a33d:0xff77f5ac4d5c5206,4181,703,71,4.366197183098592,1.0854812839041665
0x89c244410663669b:0xd254800f14acbe14,34398,5901,549,4.377049180327869,1.0471989225277618
0x89c244410dda3127:0xb42cea82133ce4e,7784,1284,153,4.209150326797386,1.1678454902491544
0x89c2444111100a51:0x274e1e84c5ec14c6,16278,2796,227,4.392070484581498,1.0392852523334997
0x89c244412455c529:0xa65f315c812cf94,319,54,19,4.157894736842105,1.3849652179642493
0x89c2444129328cc9:0x6581905419e4cbba,7546,1268,117,4.119658119658119,1.1682760151725566
0x89c24441932f9825:0xf1f35c8c5f3b7d0a,23118,3963,300,4.19,1.1275954823900085
0x89c2444196dc865b:0xbd6bd6ae32d96f88,1036,167,10,4.9,0.31622776601683794
0x89c2444198bf6c61:0x661b99273e6c18cd,202,38,12,4.416666666666667,1.164500152881315
0x89c2444199d5d18f:0x7febe3279e3ef629,6421,1173,165,4.090909090909091,1.1935711011047734
0x89c24441a6c0e6e5:0xdc408d5bd465fed7,2028,344,20,3.85,1.5652475842498528
0x89c24441a6e44b8b:0x81dc123fca79a99d,787,135,11,3.909090909090909,1.513574937328539
0x89c24441bc2c69dd:0xb8140927c9ac43ce,16439,2778,209,4.401913875598086,1.0924549683769769
0x89c24441bf34ba25:0x58ca6ffec6d97fb1,3799,654,33,4.181818181818182,1.4021088013806526
0x89c24441bf34ba25:0xa0d8d9ad5afcf8ea,2006,341,12,4.166666666666667,1.403458930534474
0x89c24441e1659f1d:0xa72bd1cb67c4f469,7727,1346,119,3.4285714285714284,1.5269967676224132
0x89c24441ecc70453:0x6c03c1a04fd9c0d,3767,664,101,3.702970297029703,1.2210205113383275
0x89c24441f00b6b51:0xde17ec942a97d427,5092,926,128,4.0546875,1.1792737238436335
0x89c24441f027d63f:0xa91e352ccb8ae052,8800,1608,133,3.4511278195488724,1.4947694938013008
0x89c24441ffa09a63:0xbc4fc55c7827b304,4808,834,73,4.397260273972603,1.0637946495055286
0x89c24442012b93a7:0x7fb78185ca6e94b3,5930,1060,114,4.333333333333333,1.094367451084918
0x89c2444203d15921:0xb5849f4f8baaa63b,14649,2604,174,4.005747126436781,1.3013871054044923
0x89c244420d3f9917:0x230287b2a3577845,47711,8373,673,4.485884101040119,0.9985971551201762
0x89c2444257f489ed:0xc130363f3a3cc4f,5337,989,101,4.099009900990099,1.3000380801734197
0x89c244427a927bab:0xe80ed7aed2db21c6,5507,974,75,3.9466666666666668,1.2933649109175618
0x89c244427d3e2c19:0xc1dbf7d8e71d7201,1246,216,10,4.6,0.5163977794943222
0x89c244427d3e2c19:0xe2d205a3df37b516,1268,216,23,4.565217391304348,1.1609591237233643
0x89c244428d56f903:0x9f55963495c52163,981,182,30,4.233333333333333,1.1043279539543756
0x89c244429d5a1487:0x5f334fa938ea4d47,3412,603,68,4.3088235294117645,1.2125876234370574
0x89c244429f0d055f:0x89bb9a388f81f22c,2970,557,107,4.196261682242991,1.1851220169363708
0x89c24443a16a7755:0x46a45504fcc9c4d7,5306,998,79,4.3924050632911396,0.9925068173761513
0x89c24443a6e3fc39:0xd6c4b4fffaaf214a,890,170,20,3.9,1.3337718577107003
0x89c24443a7ca0b5d:0x4251bd0a90e7fc0c,17326,3050,203,4.4236453201970445,1.0844684386239904
